    1         1      1.00000000000000000E+00
    2         2      1.00000000000000000E+00
    3        11      1.00000000000000000E+00
    4        12      1.00000000000000000E+00
    5        13      1.00000000000000000E+00
    6         3      1.00000000000000000E+00
    7         4      1.00000000000000000E+00
    8        14      1.00000000000000000E+00
    9        15      1.00000000000000000E+00
   10        16      1.00000000000000000E+00
   11         5      1.00000000000000000E+00
   12         6      1.00000000000000000E+00
   13         7      1.00000000000000000E+00
   14        17      1.00000000000000000E+00
   15        18      1.00000000000000000E+00
   16        19      1.00000000000000000E+00
   17        20      1.00000000000000000E+00
   18        21      1.00000000000000000E+00
   19        22      1.00000000000000000E+00
   20        29     -2.88675134594812921E-01
   20        30     -2.88675134594812921E-01
   20        31      5.77350269189625953E-01
   21        33      1.00000000000000000E+00
   22        34      1.00000000000000000E+00
   23        32      1.00000000000000000E+00
   24        29      5.00000000000000000E-01
   24        30     -5.00000000000000000E-01
   25         8      1.00000000000000000E+00
   26         9      1.00000000000000000E+00
   27        10      1.00000000000000000E+00
   28        23      1.00000000000000000E+00
   29        24      1.00000000000000000E+00
   30        25      1.00000000000000000E+00
   31        26      1.00000000000000000E+00
   32        27      1.00000000000000000E+00
   33        28      1.00000000000000000E+00
   34        35     -2.88675134594812921E-01
   34        36     -2.88675134594812921E-01
   34        37      5.77350269189625953E-01
   35        39      1.00000000000000000E+00
   36        40      1.00000000000000000E+00
   37        38      1.00000000000000000E+00
   38        35      5.00000000000000000E-01
   38        36     -5.00000000000000000E-01
